[CSG, ACT, Columbus, GA, Waco, TX, 30, 50, 1, 723.0, 200304, 281683, 219485]
[CSG, ACT, Columbus, GA, Waco, TX, 37, 50, 1, 723.0, 200903, 292795, 233378]
[CSG, CAK, Columbus, GA, Akron, OH, 22, 74, 1, 611.0, 200511, 288193, 700649]
[CSG, MCN, Columbus, GA, Macon, GA, 13, 30, 1, 76.0, 199509, 278010, 215429]
[CSG, MCN, Columbus, GA, Macon, GA, 8, 30, 1, 76.0, 199508, 278010, 215429]
[CSG, MCN, Columbus, GA, Macon, GA, 13, 30, 1, 76.0, 199604, 277769, 216815]
[CSG, MCN, Columbus, GA, Macon, GA, 3, 66, 1, 76.0, 199603, 277769, 216815]
[CSG, MCN, Columbus, GA, Macon, GA, 23, 66, 1, 76.0, 199707, 278557, 218605]
[CSG, MCN, Columbus, GA, Macon, GA, 43, 66, 1, 76.0, 199711, 278557, 218605]
[CSG, MCN, Columbus, GA, Macon, GA, 28, 66, 1, 76.0, 199704, 278557, 218605]
[CSG, MCN, Columbus, GA, Macon, GA, 8, 50, 1, 76.0, 199911, 278196, 219392]
[CSG, MCN, Columbus, GA, Macon, GA, 15, 66, 1, 76.0, 199904, 278196, 219392]
[CSG, MCN, Columbus, GA, Macon, GA, 66, 132, 2, 76.0, 199910, 278196, 219392]
[CSG, MCN, Columbus, GA, Macon, GA, 37, 66, 1, 76.0, 199908, 278196, 219392]
[CSG, MCN, Columbus, GA, Macon, GA, 15, 30, 1, 76.0, 200205, 286315, 224432]
[CSG, MCN, Columbus, GA, Macon, GA, 41, 50, 1, 76.0, 200504, 288193, 227607]
[CSG, MCN, Columbus, GA, Macon, GA, 28, 132, 2, 76.0, 200703, 286905, 229997]
[CSG, MCN, Columbus, GA, Macon, GA, 0, 66, 1, 76.0, 200704, 286905, 229997]
[CSG, MIA, Columbus, GA, Miami, FL, 167, 173, 1, 542.0, 200510, 288193, 10886318]
[CSG, MIA, Columbus, GA, Miami, FL, 0, 120, 1, 542.0, 200903, 292795, 11094102]
[CSG, OCF, Columbus, GA, Ocala, FL, 127, 150, 1, 281.0, 200709, 286905, 323032]
[CSG, TPA, Columbus, GA, Tampa, FL, 44, 50, 1, 344.0, 200303, 281683, 2522780]
[CSG, TPA, Columbus, GA, Tampa, FL, 86, 173, 1, 344.0, 200710, 286905, 2711222]
[CSG, TUL, Columbus, GA, Tulsa, OK, 45, 122, 1, 675.0, 200903, 292795, 929015]
[CSG, TYR, Columbus, GA, Tyler, TX, 30, 50, 1, 611.0, 200212, 286315, 180546]
[CSG, ABY, Columbus, GA, Albany, GA, 34, 66, 1, 81.0, 200005, 282164, 157757]
[CSG, ABY, Columbus, GA, Albany, GA, 15, 30, 1, 81.0, 200110, 283457, 159833]
[CSG, ABY, Columbus, GA, Albany, GA, 3, 30, 1, 81.0, 200203, 286315, 160054]
[CSG, ALB, Columbus, GA, Albany, NY, 102, 150, 1, 931.0, 200303, 281683, 839741]
[CSG, BOS, Columbus, GA, Boston, MA, 0, 215, 1, 1021.0, 200610, 290057, 8946954]
[CSG, DFW, Columbus, GA, Dallas, TX, 216, 346, 2, 705.0, 200401, 286680, 11379964]
[CSG, DAL, Columbus, GA, Dallas, TX, 149, 150, 1, 694.0, 200508, 288193, 11632814]
[CSG, FTW, Columbus, GA, Dallas, TX, 76, 173, 1, 724.0, 200810, 287251, 12602170]
[CSG, ADS, Columbus, GA, Dallas, TX, 0, 0, 1, 693.0, 200910, 292795, 12895230]
[CSG, DHN, Columbus, GA, Dothan, AL, 5, 30, 1, 88.0, 199403, 279539, 123670]
