[DFW, RNO, Dallas, TX, Reno, NV, 5232, 9000, 60, 1345.0, 199709, 9231044, 309197]
[CLT, MIA, Charlotte, NC, Miami, FL, 5232, 8456, 56, 651.0, 199009, 1029829, 8149380]
[ORD, MIA, Chicago, IL, Miami, FL, 5232, 8700, 30, 1197.0, 199106, 16550288, 8312530]
[DTW, MIA, Detroit, MI, Miami, FL, 5232, 6944, 56, 1145.0, 200408, 8996622, 10725356]
[BWI, TPA, Baltimore, MD, Tampa, FL, 5232, 6713, 49, 842.0, 200401, 2638066, 2578104]
[DFW, AUS, Dallas, TX, Austin, TX, 5232, 8263, 57, 183.0, 199411, 8613622, 964803]
[LAS, BOS, Las Vegas, NV, Boston, MA, 5232, 5696, 30, 2381.0, 199104, 807425, 8227986]
[BNA, BOS, Nashville, TN, Boston, MA, 5232, 11218, 79, 943.0, 199102, 1067021, 8227986]
[ORD, BOS, Chicago, IL, Boston, MA, 5232, 8748, 81, 867.0, 199712, 17405264, 8460622]
[ATL, BOS, Atlanta, GA, Boston, MA, 5232, 5916, 29, 946.0, 200007, 4281905, 8805222]
[ABQ, DAL, Albuquerque, NM, Dallas, TX, 5232, 8768, 64, 580.0, 199109, 612738, 8182938]
[ATL, DFW, Atlanta, GA, Dallas, TX, 5232, 10659, 57, 732.0, 199202, 3245141, 8314270]
[TPA, DFW, Tampa, FL, Dallas, TX, 5232, 9299, 62, 929.0, 199307, 2132804, 8450926]
[SAN, DFW, San Diego, CA, Dallas, TX, 5232, 5821, 31, 1171.0, 199503, 2641561, 8787062]
[EWR, DFW, Newark, NJ, Dallas, TX, 5232, 8084, 43, 1372.0, 199612, 17190036, 8994450]
[AMA, DAL, Amarillo, TX, Dallas, TX, 5232, 8906, 73, 324.0, 199909, 217641, 9703564]
[MCO, DFW, Orlando, FL, Dallas, TX, 5232, 5670, 31, 984.0, 200105, 1708955, 10709246]
[CLT, DFW, Charlotte, NC, Dallas, TX, 5232, 6840, 57, 937.0, 200210, 1406699, 10953156]
[PHX, DFW, Phoenix, AZ, Dallas, TX, 5232, 8250, 55, 868.0, 200708, 4175595, 12313304]
[XNA, DFW, Fayetteville, AR, Dallas, TX, 5232, 8540, 122, 281.0, 200912, 464623, 12895230]
[LAX, FAT, Los Angeles, CA, Fresno, CA, 5232, 8290, 239, 209.0, 200502, 25522350, 867438]
[TPA, EWR, Tampa, FL, Newark, NJ, 5232, 10014, 66, 998.0, 199106, 2098618, 16874842]
[ATL, EWR, Atlanta, GA, Newark, NJ, 5232, 6221, 34, 745.0, 200512, 4947012, 18798114]
[ORD, ATL, Chicago, IL, Atlanta, GA, 5232, 6528, 32, 606.0, 199405, 17018756, 3444861]
[CLE, ATL, Cleveland, OH, Atlanta, GA, 5232, 8804, 62, 554.0, 199505, 2130938, 3548667]
[BHM, ATL, Birmingham, AL, Atlanta, GA, 5232, 8344, 56, 134.0, 199504, 1011111, 3548667]
[PDX, ATL, Portland, OR, Atlanta, GA, 5232, 6972, 28, 2172.0, 199809, 1829786, 3872031]
[JFK, ATL, New York, NY, Atlanta, GA, 5232, 6200, 124, 760.0, 200310, 37342640, 4673146]
[PIT, BUF, Pittsburgh, PA, Buffalo, NY, 5232, 7473, 53, 186.0, 199111, 2472127, 1191010]
[SMF, ORD, Sacramento, CA, Chicago, IL, 5232, 8662, 61, 1781.0, 199212, 1583460, 16720340]
[DCA, ORD, Washington, DC, Chicago, IL, 5232, 10528, 56, 612.0, 199503, 8757652, 17155070]
[MSP, ORD, Minneapolis, MN, Chicago, IL, 5232, 10350, 69, 334.0, 199512, 2725644, 17155070]
[IND, MDW, Indianapolis, IN, Chicago, IL, 5232, 7809, 57, 162.0, 199608, 1406510, 17287860]
[MCI, ORD, Kansas City, MO, Chicago, IL, 5232, 7854, 81, 403.0, 199601, 1753337, 17287860]
[LGA, ORD, New York, NY, Chicago, IL, 5232, 6864, 66, 733.0, 200005, 36705486, 18235464]
[CMH, MDW, Columbus, OH, Chicago, IL, 5232, 7930, 65, 284.0, 200108, 1642112, 18385002]
[MSP, ORD, Minneapolis, MN, Chicago, IL, 5232, 13024, 88, 334.0, 200101, 3024111, 18385002]
